Type,Trans Date,Post Date,Description,Amount
Sale,06/22/2016,06/23/2016,"UNITED      0162497365906",-106.70
Sale,06/21/2016,06/21/2016,"UBER   *JUN20 US QKAAL",-3.75
Sale,06/20/2016,06/21/2016,"MARIANO'S     00085084",-6.14
Sale,06/20/2016,06/20/2016,"UBER   *JUN19 US UCH6K",-11.02
Sale,06/20/2016,06/21/2016,"MARIANO'S     00085084",-1.67
Sale,06/19/2016,06/20/2016,"AMAZON MKTPLACE PMTS",-15.99
Sale,06/17/2016,06/17/2016,"VISUAL SUPPLY COMPANY",-44.00
Sale,06/17/2016,06/19/2016,"BANANAREPUBLIC US 6772",-70.56
Sale,06/16/2016,06/17/2016,"PAYPAL *PAYPALDIGIT",-90.00
Return,06/16/2016,06/17/2016,"BANANAREPUBLIC US 6772",39.36
Sale,06/16/2016,06/19/2016,"ARAMARK TARGET CHICAGO SO",-9.46
Sale,06/15/2016,06/17/2016,"ALS ITALIAN BEEF - CH",-20.25
Sale,06/12/2016,06/14/2016,"SOUPLANTATION 33 Q02",-15.10
Sale,06/12/2016,06/12/2016,"SUSHI FISH ATTACK",-32.50
Sale,06/11/2016,06/12/2016,"UCSD PEET'S COFFEE & TEA",-10.00
Sale,06/10/2016,06/12/2016,"HOT DOG EXPRES22635528",-5.45
Sale,06/10/2016,06/12/2016,"MCDONALD'S F22821",-2.84
Sale,06/10/2016,06/12/2016,"ADY*Spotify P0034D4743",-9.99
Sale,06/10/2016,06/12/2016,"PP*ARGO TEA T2",-4.36
Sale,06/10/2016,06/12/2016,"AMAZON MKTPLACE PMTS",-24.99
Sale,06/09/2016,06/10/2016,"UBER   *JUN09 US SRYRY",-3.75
Sale,06/07/2016,06/07/2016,"UBER   *JUN06 US T3V3Z",-6.54
Payment,06/06/2016,06/06/2016,"AUTOMATIC PAYMENT - THANK",666.64
Sale,06/06/2016,06/07/2016,"STARBUCKS CARD RELOAD",-10.00
Sale,06/06/2016,06/06/2016,"5 RABANITOS INC",-15.91
Sale,06/05/2016,06/07/2016,"COUNTY BBQ",-18.50
Sale,06/04/2016,06/06/2016,"AL'S ITALIAN BEEF - CH",-18.80
Sale,06/04/2016,06/05/2016,"UBER   *JUN03 US CPDVJ",-4.24
Sale,06/04/2016,06/05/2016,"BADCHRISTIAN",-47.00
Sale,06/04/2016,06/05/2016,"WAL-MART #5647",-3.58
Sale,06/03/2016,06/05/2016,"LYFT   *RIDE THU 9PM",-3.50
Sale,06/03/2016,06/05/2016,"MARIANOS FRESH00085035",-8.17
Sale,06/02/2016,06/05/2016,"LYFT   *RIDE WED 10PM",-4.50
Sale,06/02/2016,06/02/2016,"UBER TECHNOLOGIES INC",-3.95
Sale,05/31/2016,06/01/2016,"JEWEL #3376",-41.41
Sale,05/31/2016,06/02/2016,"GUS'S WORLD FAMOUS FRI",-15.50
Sale,05/30/2016,06/01/2016,"SP * LEESA SLEEP",-450.00
Sale,05/29/2016,05/31/2016,"SOUTHWES    5262414392105",-461.96
Sale,05/29/2016,05/30/2016,"YAKYUDORI",-32.54
Sale,05/29/2016,05/31/2016,"MSP LA BREA",-11.25
Sale,05/29/2016,05/31/2016,"CARIBOU COFFEE CO #1174",-5.43
Sale,05/28/2016,05/29/2016,"STARBUCKS #05784 SAN DIEG",-9.50
Sale,05/27/2016,05/27/2016,"APL* ITUNES.COM/BILL",-6.36
Sale,05/27/2016,05/27/2016,"OPART THAI HOUSE",-17.81
Sale,05/27/2016,05/30/2016,"ANTON CHICK FI20353413",-7.27
Sale,05/27/2016,05/27/2016,"BANANAREPUBLIC US 6772",-39.36
Sale,05/25/2016,05/26/2016,"LYFT   *RIDE WED 7AM",-4.50
Sale,05/24/2016,05/25/2016,"Amazon.com",-16.19
Sale,05/23/2016,05/24/2016,"JEWEL #3376",-15.62
Sale,05/22/2016,05/24/2016,"ARTOPOLIS BAKERY,CAFE",-5.52
Sale,05/22/2016,05/23/2016,"THE LITTLE GOAT",-17.57
Sale,05/22/2016,05/23/2016,"UBER   *MAY22 US UPEVA",-7.54
Sale,05/21/2016,05/22/2016,"AMAZON MKTPLACE PMTS",-25.00
Sale,05/21/2016,05/22/2016,"FANDANGO.COM",-46.50
Sale,05/21/2016,05/22/2016,"RAMEN TAKEYA",-16.19
Sale,05/18/2016,05/19/2016,"UBER TECHNOLOGIES INC",-3.35
Sale,05/16/2016,05/17/2016,"JEWEL #3376",-18.16
Sale,05/15/2016,05/16/2016,"POSTMATES TENDER GREEN",-10.47
Sale,05/15/2016,05/16/2016,"UBER TECHNOLOGIES INC",-1.70
Sale,05/14/2016,05/15/2016,"UBER TECHNOLOGIES INC",-2.20
Sale,05/13/2016,05/15/2016,"UBER TECHNOLOGIES INC",-1.35
Sale,05/13/2016,05/15/2016,"AMAZON MKTPLACE PMTS",-10.79
Sale,05/12/2016,05/13/2016,"UBER TECHNOLOGIES INC",-2.52
Sale,05/10/2016,05/11/2016,"ADY*Spotify P000D8375C",-9.99
Sale,05/10/2016,05/11/2016,"MARIANOS FRESH00085035",-8.02
Sale,05/06/2016,05/09/2016,"Mindy's Hot Chocolate",-8.74
Payment,05/06/2016,05/06/2016,"AUTOMATIC PAYMENT - THANK",757.10
Sale,05/05/2016,05/06/2016,"JEWEL #3376",-2.67
Sale,05/05/2016,05/06/2016,"Amazon.com",-32.40
Sale,05/03/2016,05/04/2016,"HANNAH'S BRETZEL",-9.81
Return,05/02/2016,05/03/2016,"CHRISTIANAUDIO.COM",14.95
Return,05/02/2016,05/03/2016,"CHRISTIANAUDIO.COM",14.95
Sale,05/01/2016,05/02/2016,"STARBUCKS CARD RELOAD",-10.00
Sale,05/01/2016,05/03/2016,"GRANDMA TOFU & KOREAN",-28.91
Sale,05/01/2016,05/02/2016,"BIRD ROCK COFFEE ROQ83",-20.70
Sale,04/30/2016,05/01/2016,"IN *SOME OF ME",-3.24
Return,04/29/2016,05/01/2016,"SURF YOU TO THE MOON",21.20
Sale,04/29/2016,05/01/2016,"PP*ARGO TEA CL",-14.28
Sale,04/29/2016,05/01/2016,"CHRISTIANAUDIO.COM",-14.95
Sale,04/29/2016,05/01/2016,"RUSH STREET T322630081",-6.68
Sale,04/26/2016,04/27/2016,"IGUANA CAFE",-5.00
Sale,04/25/2016,04/26/2016,"TAQUERIA LOS COMALES 3",-25.00
Sale,04/25/2016,04/26/2016,"AU CHEVAL",-24.10
Sale,04/25/2016,04/26/2016,"Amazon.com",-50.00
Sale,04/24/2016,04/24/2016,"APL* ITUNES.COM/BILL",-3.18
Sale,04/22/2016,04/25/2016,"CHICK-FIL-A #02841",-11.32
Sale,04/21/2016,04/22/2016,"SURF YOU TO THE MOON",-21.20
Sale,04/21/2016,04/22/2016,"UBER TECHNOLOGIES INC",-3.06
Sale,04/20/2016,04/20/2016,"Amazon.com",-23.92
Sale,04/19/2016,04/21/2016,"SHAKE SHACK 1135",-9.23
Sale,04/19/2016,04/19/2016,"APL* ITUNES.COM/BILL",-1.05
Sale,04/19/2016,04/19/2016,"Amazon.com",-84.99
Sale,04/18/2016,04/18/2016,"Amazon.com",-22.52
Sale,04/17/2016,04/18/2016,"LYFT   *RIDE SUN 3PM",-11.03
Sale,04/17/2016,04/18/2016,"LYFT   *RIDE SUN 3PM",-7.86
Sale,04/13/2016,04/15/2016,"CHICK-FIL-A #02841",-7.18
Sale,04/12/2016,04/13/2016,"GELATERIE BUCCI",-5.00
Sale,04/12/2016,04/13/2016,"JEWEL #3376",-26.89
Sale,04/11/2016,04/11/2016,"GAP US 306",-16.15
Sale,04/11/2016,04/12/2016,"SIAM NARA",-17.50
Sale,04/11/2016,04/12/2016,"BIRD ROCK COFFEE ROQ83",-9.20
Sale,04/11/2016,04/13/2016,"TEA CREATIONS INC",-10.00
Sale,04/10/2016,04/12/2016,"SUPERNATURAL SANDWHICHES",-14.04
Return,04/10/2016,04/11/2016,"SURF YOU TO THE MOON",10.60
Sale,04/10/2016,04/12/2016,"RALPHS #0108",-9.21
Sale,04/10/2016,04/11/2016,"Spotify USA",-9.99
Sale,04/09/2016,04/11/2016,"PULICAN QUALITY MEATS",-15.61
Sale,04/08/2016,04/10/2016,"COSTCO.COM  *ONLINE",-35.99
Sale,04/08/2016,04/12/2016,"FORMENTO'S",-34.04
Sale,04/07/2016,04/08/2016,"JEWEL #3376",-5.30
Sale,04/06/2016,04/08/2016,"GUITAR CENTER #334",-16.53
Payment,04/06/2016,04/06/2016,"AUTOMATIC PAYMENT - THANK",687.59
Sale,04/06/2016,04/07/2016,"PETALS BY THE BEACH",-37.80
Sale,04/03/2016,04/04/2016,"JEWEL #3376",-10.21
Sale,04/03/2016,04/03/2016,"AMAZON MKTPLACE PMTS",-10.45
Sale,04/02/2016,04/04/2016,"SURF YOU TO THE MOON",-21.20
Sale,04/01/2016,04/03/2016,"LYFT   *RIDE FRI 8PM",-8.12
Sale,04/01/2016,04/03/2016,"JOY YEE NOODLE",-30.50
Sale,04/01/2016,04/03/2016,"SAINT'S ALP TEAHOUSE &",-11.55
Sale,04/01/2016,04/01/2016,"GROUPON INC",-40.00
Sale,03/31/2016,04/03/2016,"THE HALAL GUYS",-8.91
Sale,03/31/2016,04/01/2016,"UBER TECHNOLOGIES INC",-4.60
Sale,03/29/2016,03/31/2016,"CHRISTIANAUDIO.COM",-14.95
Sale,03/28/2016,03/30/2016,"GUS'S WORLD FAMOUS FRI",-19.79
Sale,03/27/2016,03/28/2016,"JEWEL #3376",-3.50
Sale,03/26/2016,03/27/2016,"UBER TECHNOLOGIES INC",-5.17
Sale,03/26/2016,03/27/2016,"JEWEL #3376",-7.41
Sale,03/25/2016,03/28/2016,"WISE OWL DRINKING & COOKH",-10.00
Sale,03/25/2016,03/27/2016,"UBER TECHNOLOGIES INC",-5.49
Sale,03/22/2016,03/23/2016,"THE LITTLE GOAT",-22.51
Sale,03/20/2016,03/21/2016,"VENTRA VENDING 09301",-9.00
Sale,03/19/2016,03/21/2016,"INSIDERZEDGE",-15.00
Sale,03/19/2016,03/20/2016,"SQ *BESPOKE EYECARE",-10.00
